timestep,question ,action_node_id, bubble_size, bubble_scale
trial_91_8,Show me head,12,1,1,
trial_91_9,Show me Lower Body,3,2,1,
50,50,50,50,50,
trial_92_1,Show me Full Body,1,2,0,
trial_92_2,Show me Left Leg,8,1,0,
trial_92_3,Show me right elbow,10,1,0,
trial_92_4,Show me Right Arm,4,0,2,
trial_92_5,Show me head,12,0,0,
50,50,50,50,50,
trial_93_1,Show me Torso,5,1,0,
trial_93_2,Show me Right Arm,4,0,0,
trial_93_3,Show me left knee,21,0,2,
trial_93_4,Show me right shoulder,9,2,2,
trial_93_5,Show me Left Leg,8,0,2,
trial_93_6,Show me left ankle,22,0,0,
trial_93_7,Show me left hip,20,0,2,
trial_93_8,Show me Torso,5,0,2,
trial_93_9,Show me Left Arm,6,2,0,
50,50,50,50,50,
trial_94_1,Show me Torso,5,0,1,
trial_94_2,Show me left ankle,22,2,0,
trial_94_3,Show me Torso,5,2,1,
trial_94_4,Show me right elbow,10,0,0,
trial_94_5,Show me left hip,20,0,1,
trial_94_6,Show me neck,13,1,0,
50,50,50,50,50,
trial_95_1,Show me left ankle,22,0,0,
trial_95_2,Show me Right Arm,4,2,0,
trial_95_3,Show me left elbow,15,0,1,
trial_95_4,Show me Upper Body,2,2,0,
trial_95_5,Show me right wrist,11,0,2,
trial_95_6,Show me Full Body,1,2,0,
50,50,50,50,50,
trial_96_1,Show me Left Arm,6,0,0,
trial_96_2,Show me right elbow,10,1,1,
trial_96_3,Show me Full Body,1,0,1,
trial_96_4,Show me right wrist,11,0,0,
trial_96_5,Show me left shoulder,14,1,0,
trial_96_6,Show me neck,13,2,0,
trial_96_7,Show me head,12,0,1,
trial_96_8,Show me left knee,21,2,1,
trial_96_9,Show me Left Arm,6,1,2,
50,50,50,50,50,
trial_97_1,Show me head,12,1,1,
trial_97_2,Show me right elbow,10,0,0,
trial_97_3,Show me right knee,18,0,2,
trial_97_4,Show me Right Leg,7,0,1,
trial_97_5,Show me head,12,2,0,
trial_97_6,Show me left hip,20,1,1,
50,50,50,50,50,
trial_98_1,Show me neck,13,1,0,
trial_98_2,Show me right knee,18,1,0,
trial_98_3,Show me Right Arm,4,2,1,
trial_98_4,Show me left wrist,16,1,1,
50,50,50,50,50,
trial_99_1,Show me Full Body,1,1,2,
trial_99_2,Show me left knee,21,2,0,
trial_99_3,Show me right knee,18,1,2,
trial_99_4,Show me Upper Body,2,2,0,
trial_99_5,Show me head,12,0,1,
trial_99_6,Show me right knee,18,1,1,
trial_99_7,Show me Left Arm,6,1,0,
50,50,50,50,50,
trial_100_1,Show me right elbow,10,0,0,
trial_100_2,Show me Torso,5,2,2,
trial_100_3,Show me right wrist,11,1,2,
trial_100_4,Show me right knee,18,1,1,
trial_100_5,Show me right shoulder,9,0,0,
50,50,50,50,50,
